group,estimator,brier,brier_lo,brier_hi,ece,ece_lo,ece_hi,n_matches,n_obs,bootstrapped
Pooled,model,0.213416318207937,,,0.07380444569585257,,,15856,47568,True
Pooled,market,0.19393371857352118,,,0.007523707983179736,,,15856,47568,True
D1,model,0.211155957047267,,,0.07399738162929673,,,1827,5481,False
D1,market,0.19558265923238913,,,0.01460377087021041,,,1827,5481,False
E0,model,0.20633277646096435,,,0.07237215371631654,,,2273,6819,False
E0,market,0.1854698067198485,,,0.013716151063807823,,,2273,6819,False
E1,model,0.22499696009463843,,,0.07458440680304486,,,3306,9918,False
E1,market,0.20672864718788644,,,0.009248076855936243,,,3306,9918,False
E2,model,0.21899140157084368,,,0.04012269306573469,,,1091,3273,False
E2,market,0.20347631587959955,,,0.019274862774255566,,,1091,3273,False
F1,model,0.21434765544491513,,,0.07895918657484415,,,1891,5673,False
F1,market,0.19557414199501189,,,0.013407181410745947,,,1891,5673,False
I1,model,0.2061595911763973,,,0.07735236740839173,,,1890,5670,False
I1,market,0.1827317445743297,,,0.017413256923421477,,,1890,5670,False
N1,model,0.19822169116192895,,,0.03891154781517935,,,599,1797,False
N1,market,0.18420894944789695,,,0.02272732917539203,,,599,1797,False
SC0,model,0.21008928766685808,,,0.08995647086574353,,,1087,3261,False
SC0,market,0.18679968712442874,,,0.01364177331835767,,,1087,3261,False
SP1,model,0.21369891407381592,,,0.08851592422640393,,,1892,5676,False
SP1,market,0.19137788794956165,,,0.015025948922984873,,,1892,5676,False
