test_season,cal_season,estimator,method,guarantee,alpha,tau,coverage,mean_set_size,n_cal,n_test
2017-2018,2016-2017,model,marginal,marginal: P(Y∈C(X)) ≥ 1-α,0.1,0.9020066855777038,0.911855273287144,2.5026943802925325,2591,2598
2017-2018,2016-2017,model,mondrian_league,conditional: P(Y∈C(X)|league) ≥ 1-α per league,0.1,0.9001770233876927,0.9107005388760585,2.491916859122402,2591,2598
2017-2018,2016-2017,market,marginal,marginal: P(Y∈C(X)) ≥ 1-α,0.1,0.7722542241158453,0.8976135488837568,2.2705927636643572,2591,2598
2017-2018,2016-2017,market,mondrian_league,conditional: P(Y∈C(X)|league) ≥ 1-α per league,0.1,0.7733086125131637,0.8983833718244804,2.275981524249423,2591,2598
2018-2019,2017-2018,model,marginal,marginal: P(Y∈C(X)) ≥ 1-α,0.1,0.8930502789631243,0.9371308016877637,2.619409282700422,2598,2370
2018-2019,2017-2018,model,mondrian_league,conditional: P(Y∈C(X)|league) ≥ 1-α per league,0.1,0.9000544338981344,0.9388185654008439,2.6265822784810124,2598,2370
2018-2019,2017-2018,market,marginal,marginal: P(Y∈C(X)) ≥ 1-α,0.1,0.7734013080004396,0.9042194092827004,2.312658227848101,2598,2370
2018-2019,2017-2018,market,mondrian_league,conditional: P(Y∈C(X)|league) ≥ 1-α per league,0.1,0.7820339054867992,0.9059071729957806,2.318143459915612,2598,2370
2019-2020,2018-2019,model,marginal,marginal: P(Y∈C(X)) ≥ 1-α,0.1,0.8623131102577535,0.9157223796033994,2.5446175637393766,2370,1412
2019-2020,2018-2019,model,mondrian_league,conditional: P(Y∈C(X)|league) ≥ 1-α per league,0.1,0.866639231135388,0.9008498583569405,2.492917847025496,2370,1412
2019-2020,2018-2019,market,marginal,marginal: P(Y∈C(X)) ≥ 1-α,0.1,0.7690671373857367,0.8902266288951841,2.3371104815864023,2370,1412
2019-2020,2018-2019,market,mondrian_league,conditional: P(Y∈C(X)|league) ≥ 1-α per league,0.1,0.7746753075607261,0.8902266288951841,2.306657223796034,2370,1412
2020-2021,2019-2020,model,marginal,marginal: P(Y∈C(X)) ≥ 1-α,0.1,0.8521266200940187,0.9129802095459837,2.539289871944121,1412,3436
2020-2021,2019-2020,model,mondrian_league,conditional: P(Y∈C(X)|league) ≥ 1-α per league,0.1,0.8557602620732188,0.9126891734575088,2.5456926658905705,1412,3436
2020-2021,2019-2020,market,marginal,marginal: P(Y∈C(X)) ≥ 1-α,0.1,0.7763106213350414,0.9138533178114087,2.417345750873108,1412,3436
2020-2021,2019-2020,market,mondrian_league,conditional: P(Y∈C(X)|league) ≥ 1-α per league,0.1,0.7764437286225622,0.9083236321303841,2.4155995343422583,1412,3436
2021-2022,2020-2021,model,marginal,marginal: P(Y∈C(X)) ≥ 1-α,0.1,0.8413909109018192,0.9191069875326181,2.537547115105828,3436,3449
2021-2022,2020-2021,model,mondrian_league,conditional: P(Y∈C(X)|league) ≥ 1-α per league,0.1,0.8471872777460873,0.9225862568860539,2.5633516961438096,3436,3449
2021-2022,2020-2021,market,marginal,marginal: P(Y∈C(X)) ≥ 1-α,0.1,0.7695927442742575,0.895911858509713,2.334299797042621,3436,3449
2021-2022,2020-2021,market,mondrian_league,conditional: P(Y∈C(X)|league) ≥ 1-α per league,0.1,0.7762421947550617,0.9022905189910119,2.348796752681937,3436,3449
