league,gamma_obs,se_obs,t_obs,p_parametric,p_simulation,ratio_sim_param,null_gamma_mean,null_gamma_sd,n_sim
D1,-0.022752039555463368,0.037033806984879514,-0.6143586470802953,0.53897835582733,0.5375,0.9972571146663937,0.00020016707352924526,0.03732675751052895,2000
E0,0.015374885037244726,0.030722958355470627,0.5004363466354478,0.616767865934037,0.6215,1.0076724718120595,-0.0009440693467379084,0.031459162001351446,2000
E1,0.0876867644602188,0.04493678846241643,1.9513358088230306,0.05101711200508733,0.064,1.2544810453719537,-0.0006710088291044838,0.04649794925487429,2000
E2,0.22047743849046494,0.08911738225651859,2.474011611515192,0.013360535434494041,0.015,1.1227094957042822,0.004111207548516033,0.08697551164753356,2000
F1,0.057110371983903674,0.037054072422797006,1.541271127563493,0.12325081278102733,0.1405,1.1399519145534427,0.0013433736324143673,0.0388833256951018,2000
I1,0.11411730490944505,0.03215862614394816,3.5485752531415415,0.0003873213052429593,0.001,2.5818357690721894,-0.0002966942704614767,0.035236590518204075,2000
N1,0.050219115700042664,0.054105971195690494,0.9281621712030664,0.35332345385598074,0.4,1.1321071263020237,0.0004021821177998943,0.05990816320677523,2000
SC0,0.04980879294715243,0.041141462892721574,1.210671411394178,0.22602136334304845,0.2705,1.1967895246673794,-0.0015518998219863705,0.04488718318375808,2000
SP1,0.02171098255719471,0.034766654198523206,0.6244771910814741,0.53231424510999,0.5315,0.9984703676118571,0.0001257458508618044,0.03485911407432296,2000
