league,gamma,gamma_se,n_matches,mde,power_at_obs,power_at_pooled,adequately_powered
Pooled,0.04588089817991177,0.01312091396601121,18538,0.03675935861530901,0.9378303596589362,0.9380084653749358,True
D1,-0.022752039555463368,0.037033806984879514,2142,0.10375336621928724,0.0942367431182752,0.2362800358289389,False
E0,0.015374885037244726,0.030722958355470627,2660,0.08607298598538682,0.0791490753979221,0.3208956866232529,False
E1,0.0876867644602188,0.04493678846241643,3863,0.12589424230577526,0.49660379898022333,0.17542094003479064,False
E2,0.22047743849046494,0.08911738225651859,1104,0.24966994080678542,0.6963952792280111,0.08090269792896025,False
F1,0.057110371983903674,0.037054072422797006,2279,0.10381014157059548,0.33795186189538595,0.2360731140314584,False
I1,0.11411730490944505,0.03215862614394816,2279,0.09009513163970642,0.9439259268244202,0.29748599173016055,True
N1,0.050219115700042664,0.054105971195690494,612,0.15158248911349254,0.15302020683774706,0.13563909258447562,False
SC0,0.04980879294715243,0.041141462892721574,1319,0.11526131429179197,0.2276009712317766,0.20030086727307186,False
SP1,0.02171098255719471,0.034766654198523206,2280,0.09740174448582778,0.09573538446653439,0.26169164446532456,False
