outcome,estimator,bin_lo,bin_hi,bin_mid,mean_pred,obs_freq,count
H,model,0.0,0.1,0.05,0.0605729044875413,0.21821036106750394,637.0
H,model,0.1,0.2,0.15000000000000002,0.1545257246980968,0.25616835994194487,1378.0
H,model,0.2,0.30000000000000004,0.25,0.2535525406669142,0.33097595473833097,2121.0
H,model,0.30000000000000004,0.4,0.35000000000000003,0.3513450497700892,0.3718738673432403,2759.0
H,model,0.4,0.5,0.45,0.4481183093553865,0.40378071833648393,2645.0
H,model,0.5,0.6000000000000001,0.55,0.5482120177082328,0.4771844660194175,2060.0
H,model,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.6480637312857637,0.538,1500.0
H,model,0.7000000000000001,0.8,0.75,0.7483812837180884,0.6153225806451613,1240.0
H,model,0.8,0.9,0.8500000000000001,0.847048351081629,0.6855941114616193,951.0
H,model,0.9,1.0,0.95,0.9367729334590269,0.768141592920354,565.0
H,market,0.0,0.1,0.05,0.0781884313134527,0.06542056074766354,321.0
H,market,0.1,0.2,0.15000000000000002,0.1560096725687882,0.153184165232358,1162.0
H,market,0.2,0.30000000000000004,0.25,0.2561434391367087,0.2545012165450122,2055.0
H,market,0.30000000000000004,0.4,0.35000000000000003,0.3540742265560363,0.3376513658124472,3551.0
H,market,0.4,0.5,0.45,0.4480829777766675,0.44753511429358306,3631.0
H,market,0.5,0.6000000000000001,0.55,0.5475473027743,0.5677824267782426,2390.0
H,market,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.6472018518857041,0.6964410327983251,1433.0
H,market,0.7000000000000001,0.8,0.75,0.7475187260702878,0.7347931873479319,822.0
H,market,0.8,0.9,0.8500000000000001,0.8387750510854206,0.8583509513742071,473.0
H,market,0.9,1.0,0.95,0.9113775184614392,0.8888888888888888,18.0
D,model,0.0,0.1,0.05,0.062367725843114515,0.20788362271234162,2131.0
D,model,0.1,0.2,0.15000000000000002,0.1530761670171754,0.2382511105915361,4277.0
D,model,0.2,0.30000000000000004,0.25,0.24998543268962617,0.26545316647705725,5274.0
D,model,0.30000000000000004,0.4,0.35000000000000003,0.34060259602637044,0.2705800625217089,2879.0
D,model,0.4,0.5,0.45,0.4408951400362544,0.2627406568516421,883.0
D,model,0.5,0.6000000000000001,0.55,0.5399544973938826,0.26492537313432835,268.0
D,model,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.6387859373968823,0.25,104.0
D,model,0.7000000000000001,0.8,0.75,0.7316937161170243,0.32,25.0
D,model,0.8,0.9,0.8500000000000001,0.8266435180809467,0.07692307692307693,13.0
D,model,0.9,1.0,0.95,0.9184591257146192,0.5,2.0
D,market,0.0,0.1,0.05,0.08451709766418142,0.09090909090909091,154.0
D,market,0.1,0.2,0.15000000000000002,0.16099937790488653,0.15486725663716813,2034.0
D,market,0.2,0.30000000000000004,0.25,0.2657790774360372,0.2609961190168176,12368.0
D,market,0.30000000000000004,0.4,0.35000000000000003,0.3089488474431084,0.3248652809853734,1299.0
D,market,0.4,0.5,0.45,0.455636301591668,1.0,1.0
A,model,0.0,0.1,0.05,0.04891129509882606,0.13676797627872497,2698.0
A,model,0.1,0.2,0.15000000000000002,0.1507369101499779,0.2218824328916072,2943.0
A,model,0.2,0.30000000000000004,0.25,0.2497458972164844,0.29754996776273374,3102.0
A,model,0.30000000000000004,0.4,0.35000000000000003,0.3468682850725684,0.3412698412698413,2646.0
A,model,0.4,0.5,0.45,0.44641858985274674,0.40558659217877097,1790.0
A,model,0.5,0.6000000000000001,0.55,0.5465765666053611,0.4360146252285192,1094.0
A,model,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.6477093883972782,0.5309734513274337,678.0
A,model,0.7000000000000001,0.8,0.75,0.7475140096872532,0.5694164989939637,497.0
A,model,0.8,0.9,0.8500000000000001,0.844917298534213,0.62,300.0
A,model,0.9,1.0,0.95,0.9313850866982546,0.6388888888888888,108.0
A,market,0.0,0.1,0.05,0.06827553205394858,0.06373429084380611,1114.0
A,market,0.1,0.2,0.15000000000000002,0.15448506533509274,0.14270941054808686,2901.0
A,market,0.2,0.30000000000000004,0.25,0.2519676301229538,0.24525714285714287,4375.0
A,market,0.30000000000000004,0.4,0.35000000000000003,0.34573517500617934,0.3482614742698192,3595.0
A,market,0.4,0.5,0.45,0.44432611378167464,0.45280960174577195,1833.0
A,market,0.5,0.6000000000000001,0.55,0.5470581927455034,0.5519607843137255,1020.0
A,market,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.6453789941086657,0.6877076411960132,602.0
A,market,0.7000000000000001,0.8,0.75,0.7433209989822688,0.7899408284023669,338.0
A,market,0.8,0.9,0.8500000000000001,0.8220785393815903,0.8333333333333334,78.0
